City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
385,Pijijiapan,0,MX,2020-01-28 23:18:44,82,15.7,-93.23,70.12,3.33
386,Wanning,33,CN,2020-01-28 23:18:44,68,18.8,110.4,65.08,9.73
387,Puerto Narino,75,CO,2020-01-28 23:18:44,100,-3.77,-70.38,77.0,3.36
388,Lucea,20,JM,2020-01-28 23:18:44,73,18.45,-78.17,77.0,3.36
389,Dhidhdhoo,0,MV,2020-01-28 23:18:44,64,6.88,73.1,81.77,9.73
390,Kanali,20,GR,2020-01-28 23:18:44,87,39.61,19.89,54.0,12.33
391,Port Shepstone,67,ZA,2020-01-28 23:18:44,76,-30.74,30.45,61.16,4.88
392,Nioro,30,GM,2020-01-28 23:18:45,32,13.35,-15.75,69.78,4.76
393,Kavieng,25,PG,2020-01-28 23:18:45,75,-2.57,150.8,84.22,6.96
394,Gari,0,RU,2020-01-28 23:18:45,84,59.43,62.35,-14.26,6.29
395,Metu,4,ET,2020-01-28 23:18:45,60,8.3,35.58,55.6,3.87
396,Severomuysk,71,RU,2020-01-28 23:18:45,86,56.15,113.43,2.07,3.31
397,Rundu,23,NA,2020-01-28 23:18:45,87,-17.93,19.77,66.09,5.17
398,Waddan,0,LY,2020-01-28 23:18:45,52,29.16,16.14,53.35,6.42
399,Santo Antonio do Ica,91,BR,2020-01-28 23:18:45,97,-3.1,-67.94,72.63,2.39
400,Bubaque,42,GW,2020-01-28 23:18:45,75,11.28,-15.83,76.98,9.51
401,Salalah,0,OM,2020-01-28 23:18:45,20,17.02,54.09,66.2,14.99
402,Norrtaelje,90,SE,2020-01-28 23:18:46,100,59.76,18.7,37.4,9.17
403,Lavrentiya,0,RU,2020-01-28 23:18:46,67,65.58,-171.0,-12.53,8.75
404,Mitsamiouli,100,KM,2020-01-28 23:18:46,76,-11.38,43.28,82.62,9.35
405,Wieliczka,75,PL,2020-01-28 23:18:46,74,49.99,20.06,37.99,13.87
406,Plouzane,20,FR,2020-01-28 23:18:46,93,48.38,-4.62,48.2,6.93
407,Margate,33,GB,2020-01-28 23:09:02,86,51.38,1.39,39.0,10.29
408,Khatanga,98,RU,2020-01-28 23:18:46,97,71.97,102.5,-12.26,0.56
409,Inhambane,0,MZ,2020-01-28 23:18:46,88,-23.86,35.38,69.8,6.11
410,Moose Factory,90,CA,2020-01-28 23:18:46,84,51.26,-80.61,5.0,4.7
411,Sligo,97,IE,2020-01-28 23:18:47,93,54.27,-8.47,37.0,3.0
412,Ulladulla,20,AU,2020-01-28 23:18:47,45,-35.35,150.47,82.4,11.41
413,Tateyama,20,JP,2020-01-28 23:18:47,63,34.98,139.87,64.4,13.87
414,Tilichiki,100,RU,2020-01-28 23:18:47,95,60.47,166.1,17.89,4.07
415,Geraldton,0,AU,2020-01-28 23:18:47,57,-28.77,114.6,78.8,13.87
416,Esperance,75,AU,2020-01-28 23:18:47,69,-33.87,121.9,75.2,8.05
417,Newtonmore,75,GB,2020-01-28 23:18:47,93,57.07,-4.12,37.99,14.99
418,Calbuco,20,CL,2020-01-28 23:18:47,93,-41.77,-73.13,50.0,2.24
